time,wind_speed_100m,wind_direction_100m,temperature_2m,surface_pressure
2025-01-01 00:00:00+00:00,7.61,233,-11.4,973.4
2025-01-01 01:00:00+00:00,7.96,233,-11.9,973.6
2025-01-01 02:00:00+00:00,7.96,231,-13.4,972.9
2025-01-01 03:00:00+00:00,7.95,230,-13.7,972.7
2025-01-01 04:00:00+00:00,8.04,228,-13.5,972.7
2025-01-01 05:00:00+00:00,8.24,224,-12.7,972.5
2025-01-01 06:00:00+00:00,10.41,221,-12.1,971.9
2025-01-01 07:00:00+00:00,10.18,220,-11.7,971.0
2025-01-01 08:00:00+00:00,10.54,218,-10.7,970.4
2025-01-01 09:00:00+00:00,9.57,213,-10.5,969.6
2025-01-01 10:00:00+00:00,10.86,213,-11.6,969.6
2025-01-01 11:00:00+00:00,11.51,213,-11.6,969.1
2025-01-01 12:00:00+00:00,11.93,214,-11.5,968.7
2025-01-01 13:00:00+00:00,12.2,213,-11.6,968.1
2025-01-01 14:00:00+00:00,12.65,213,-10.2,967.5
2025-01-01 15:00:00+00:00,12.98,213,-9.8,966.7
2025-01-01 16:00:00+00:00,13.35,211,-9.4,965.9
2025-01-01 17:00:00+00:00,13.6,210,-7.4,965.5
2025-01-01 18:00:00+00:00,13.94,210,-7.7,964.9
2025-01-01 19:00:00+00:00,14.22,211,-7.8,964.0
2025-01-01 20:00:00+00:00,14.29,211,-6.8,963.5
2025-01-01 21:00:00+00:00,14.36,212,-6.5,962.4
2025-01-01 22:00:00+00:00,15.52,213,-4.6,961.9
2025-01-01 23:00:00+00:00,15.72,215,-4.4,960.8
2025-01-02 00:00:00+00:00,15.94,220,-4.3,960.2
2025-01-02 01:00:00+00:00,15.73,225,-4.4,959.9
2025-01-02 02:00:00+00:00,15.21,232,-4.2,960.4
2025-01-02 03:00:00+00:00,14.9,240,-4.2,961.1
2025-01-02 04:00:00+00:00,14.65,245,-4.3,962.4
2025-01-02 05:00:00+00:00,14.26,249,-4.9,963.6
2025-01-02 06:00:00+00:00,13.67,253,-4.8,964.8
2025-01-02 07:00:00+00:00,13.32,257,-5.1,966.1
2025-01-02 08:00:00+00:00,13.09,259,-6.2,966.9
2025-01-02 09:00:00+00:00,12.35,260,-6.5,968.3
2025-01-02 10:00:00+00:00,12.37,255,-8.2,969.9
2025-01-02 11:00:00+00:00,11.78,250,-8.4,970.7
2025-01-02 12:00:00+00:00,11.6,247,-8.5,971.3
2025-01-02 13:00:00+00:00,11.54,244,-9.0,972.0
2025-01-02 14:00:00+00:00,11.41,240,-9.7,972.2
2025-01-02 15:00:00+00:00,11.06,234,-9.6,972.4
2025-01-02 16:00:00+00:00,11.32,230,-9.7,972.3
2025-01-02 17:00:00+00:00,11.6,227,-10.0,972.2
2025-01-02 18:00:00+00:00,12.06,225,-9.8,972.1
2025-01-02 19:00:00+00:00,12.45,224,-9.7,972.2
2025-01-02 20:00:00+00:00,12.71,222,-9.2,971.5
2025-01-02 21:00:00+00:00,12.84,217,-9.7,970.9
2025-01-02 22:00:00+00:00,13.47,214,-9.0,971.2
2025-01-02 23:00:00+00:00,13.74,212,-9.2,970.5
2025-01-03 00:00:00+00:00,14.31,210,-9.1,969.3
2025-01-03 01:00:00+00:00,15.15,212,-9.0,968.1
2025-01-03 02:00:00+00:00,15.87,217,-7.6,968.0
2025-01-03 03:00:00+00:00,16.93,219,-7.4,966.8
2025-01-03 04:00:00+00:00,18.08,221,-7.0,966.0
2025-01-03 05:00:00+00:00,18.81,225,-5.2,965.7
2025-01-03 06:00:00+00:00,19.01,228,-5.0,965.6
2025-01-03 07:00:00+00:00,18.69,231,-4.8,965.6
2025-01-03 08:00:00+00:00,18.21,232,-3.5,965.9
2025-01-03 09:00:00+00:00,17.63,234,-3.3,966.6
2025-01-03 10:00:00+00:00,17.16,234,-2.3,967.3
2025-01-03 11:00:00+00:00,16.43,235,-2.2,967.8
2025-01-03 12:00:00+00:00,15.81,237,-2.0,968.3
2025-01-03 13:00:00+00:00,15.11,238,-1.9,968.8
2025-01-03 14:00:00+00:00,14.69,238,-1.4,969.3
2025-01-03 15:00:00+00:00,14.47,238,-1.3,969.5
2025-01-03 16:00:00+00:00,14.32,238,-1.2,969.8
2025-01-03 17:00:00+00:00,14.15,238,-1.1,970.3
2025-01-03 18:00:00+00:00,14.01,237,-1.0,970.8
2025-01-03 19:00:00+00:00,14.08,237,-1.0,971.2
2025-01-03 20:00:00+00:00,13.92,236,-1.3,971.3
2025-01-03 21:00:00+00:00,13.93,235,-1.4,971.5
2025-01-03 22:00:00+00:00,13.92,234,-2.2,972.3
2025-01-03 23:00:00+00:00,13.9,235,-2.5,972.6
2025-01-04 00:00:00+00:00,13.36,237,-2.7,972.8
2025-01-04 01:00:00+00:00,12.44,241,-2.6,973.5
2025-01-04 02:00:00+00:00,11.67,243,-3.2,973.5
2025-01-04 03:00:00+00:00,11.23,244,-3.5,974.1
2025-01-04 04:00:00+00:00,10.96,242,-3.6,974.3
2025-01-04 05:00:00+00:00,10.93,240,-3.6,974.7
2025-01-04 06:00:00+00:00,10.72,239,-3.6,975.3
2025-01-04 07:00:00+00:00,10.64,238,-3.6,975.3
2025-01-04 08:00:00+00:00,10.14,235,-3.8,975.0
2025-01-04 09:00:00+00:00,9.67,234,-3.9,974.6
2025-01-04 10:00:00+00:00,8.75,231,-5.4,974.6
2025-01-04 11:00:00+00:00,8.68,232,-5.5,974.6
2025-01-04 12:00:00+00:00,8.83,232,-5.6,974.8
2025-01-04 13:00:00+00:00,8.7,232,-5.8,975.0
2025-01-04 14:00:00+00:00,8.37,234,-6.6,974.9
2025-01-04 15:00:00+00:00,8.1,236,-6.7,974.9
2025-01-04 16:00:00+00:00,7.84,238,-6.8,975.4
2025-01-04 17:00:00+00:00,7.6,240,-7.1,975.5
2025-01-04 18:00:00+00:00,7.39,238,-7.1,975.8
2025-01-04 19:00:00+00:00,7.13,237,-7.0,975.8
2025-01-04 20:00:00+00:00,6.93,239,-7.1,976.0
2025-01-04 21:00:00+00:00,6.85,240,-7.1,976.3
2025-01-04 22:00:00+00:00,6.45,240,-7.4,976.2
2025-01-04 23:00:00+00:00,6.26,245,-7.3,976.4
2025-01-05 00:00:00+00:00,5.96,247,-7.4,976.3
2025-01-05 01:00:00+00:00,5.64,243,-7.4,976.5
2025-01-05 02:00:00+00:00,5.6,240,-7.6,976.6
2025-01-05 03:00:00+00:00,5.78,237,-7.6,977.0
2025-01-05 04:00:00+00:00,5.37,234,-7.6,977.2
2025-01-05 05:00:00+00:00,5.04,231,-7.1,976.9
2025-01-05 06:00:00+00:00,5.06,227,-7.0,976.8
2025-01-05 07:00:00+00:00,5.21,221,-7.0,976.7
2025-01-05 08:00:00+00:00,5.43,217,-6.9,976.1
2025-01-05 09:00:00+00:00,5.75,217,-6.7,976.0
2025-01-05 10:00:00+00:00,6.2,221,-7.8,976.4
2025-01-05 11:00:00+00:00,6.37,223,-8.2,975.9
2025-01-05 12:00:00+00:00,6.82,225,-8.5,975.9
2025-01-05 13:00:00+00:00,6.93,225,-8.9,975.9
2025-01-05 14:00:00+00:00,7.08,222,-9.4,975.8
2025-01-05 15:00:00+00:00,7.54,222,-9.5,975.7
2025-01-05 16:00:00+00:00,8.43,222,-9.8,975.9
2025-01-05 17:00:00+00:00,8.91,225,-9.7,975.6
2025-01-05 18:00:00+00:00,8.92,228,-9.6,975.5
2025-01-05 19:00:00+00:00,8.82,231,-9.6,975.4
2025-01-05 20:00:00+00:00,8.84,234,-9.2,975.3
2025-01-05 21:00:00+00:00,9.11,235,-9.0,975.4
2025-01-05 22:00:00+00:00,9.52,234,-9.0,975.8
2025-01-05 23:00:00+00:00,9.72,236,-8.8,975.5
2025-01-06 00:00:00+00:00,9.49,237,-8.7,975.5
2025-01-06 01:00:00+00:00,9.16,238,-8.1,975.5
2025-01-06 02:00:00+00:00,8.63,240,-8.0,975.7
2025-01-06 03:00:00+00:00,8.1,238,-7.9,976.0
2025-01-06 04:00:00+00:00,7.77,234,-7.9,976.4
2025-01-06 05:00:00+00:00,7.98,232,-6.7,976.9
2025-01-06 06:00:00+00:00,8.31,234,-6.6,977.2
2025-01-06 07:00:00+00:00,8.25,236,-6.5,977.6
2025-01-06 08:00:00+00:00,8.04,241,-5.8,977.5
2025-01-06 09:00:00+00:00,7.67,242,-5.7,977.7
2025-01-06 10:00:00+00:00,7.31,240,-5.8,978.2
2025-01-06 11:00:00+00:00,7.07,235,-5.6,978.7
2025-01-06 12:00:00+00:00,7.16,232,-5.7,978.6
2025-01-06 13:00:00+00:00,7.19,232,-5.4,978.9
2025-01-06 14:00:00+00:00,7.14,233,-5.7,979.3
2025-01-06 15:00:00+00:00,6.91,232,-5.5,979.4
2025-01-06 16:00:00+00:00,6.62,228,-5.4,979.4
2025-01-06 17:00:00+00:00,6.51,226,-5.6,979.5
2025-01-06 18:00:00+00:00,6.4,225,-5.6,979.6
2025-01-06 19:00:00+00:00,6.05,222,-5.8,979.4
2025-01-06 20:00:00+00:00,5.54,220,-5.9,979.4
2025-01-06 21:00:00+00:00,4.9,219,-5.9,979.2
2025-01-06 22:00:00+00:00,5.01,212,-7.3,978.9
2025-01-06 23:00:00+00:00,4.45,205,-6.7,978.9
2025-01-07 00:00:00+00:00,3.75,196,-6.2,978.4
2025-01-07 01:00:00+00:00,3.2,179,-6.2,978.0
2025-01-07 02:00:00+00:00,3.27,157,-5.9,977.8
2025-01-07 03:00:00+00:00,4.3,147,-5.9,977.5
2025-01-07 04:00:00+00:00,5.04,148,-5.8,977.4
2025-01-07 05:00:00+00:00,5.26,148,-4.8,976.9
2025-01-07 06:00:00+00:00,5.13,147,-4.5,976.6
2025-01-07 07:00:00+00:00,4.77,150,-4.2,975.9
2025-01-07 08:00:00+00:00,4.43,148,-3.7,975.1
2025-01-07 09:00:00+00:00,4.38,142,-3.8,974.3
2025-01-07 10:00:00+00:00,5.42,138,-3.7,973.4
2025-01-07 11:00:00+00:00,6.1,143,-4.0,972.8
2025-01-07 12:00:00+00:00,6.3,146,-4.6,972.3
2025-01-07 13:00:00+00:00,6.25,147,-4.8,971.6
2025-01-07 14:00:00+00:00,5.74,145,-4.6,971.6
