time,wind_speed_10m,wind_speed_80m,wind_speed_100m,wind_speed_120m,wind_direction_100m,wind_gusts_10m,temperature_2m,surface_pressure
2023-03-11 00:00:00,4.24,8.61,8.84,9.02,85,7.2,6.1,954.0
2023-03-11 01:00:00,4.5,8.87,9.1,9.29,89,7.6,6.0,953.9
2023-03-11 02:00:00,4.81,9.17,9.41,9.61,93,8.1,7.4,953.9
2023-03-11 03:00:00,5.5,9.35,9.59,9.79,79,9.5,10.2,955.0
2023-03-11 04:00:00,6.31,10.55,10.83,11.05,69,11.9,12.8,954.6
2023-03-11 05:00:00,7.38,10.42,10.69,10.91,65,13.8,15.1,954.0
2023-03-11 06:00:00,8.01,10.81,11.09,11.32,68,15.0,16.7,953.3
2023-03-11 07:00:00,7.87,10.47,10.74,10.96,66,15.1,17.9,952.6
2023-03-11 08:00:00,7.7,10.2,10.47,10.68,64,14.8,19.1,951.5
2023-03-11 09:00:00,7.6,10.21,10.48,10.7,66,14.5,19.5,950.8
2023-03-11 10:00:00,6.91,9.68,9.93,10.14,71,14.2,19.3,950.7
2023-03-11 11:00:00,5.54,8.89,9.12,9.31,81,12.6,18.6,950.3
2023-03-11 12:00:00,4.54,8.31,8.53,8.71,85,9.7,16.9,950.3
2023-03-11 13:00:00,3.61,7.58,7.78,7.94,98,7.9,14.9,950.0
2023-03-11 14:00:00,3.45,7.4,7.6,7.75,111,5.9,13.3,949.9
2023-03-11 15:00:00,3.18,7.06,7.24,7.39,108,5.7,12.1,949.8
2023-03-11 16:00:00,3.55,7.24,7.43,7.59,107,5.8,11.0,949.6
2023-03-11 17:00:00,3.49,7.0,7.18,7.33,106,6.2,10.3,949.3
2023-03-11 18:00:00,3.42,6.78,6.96,7.1,97,5.9,9.6,948.9
2023-03-11 19:00:00,3.09,6.26,6.42,6.55,94,5.7,8.8,948.5
2023-03-11 20:00:00,2.34,5.37,5.51,5.62,87,5.3,7.8,948.3
2023-03-11 21:00:00,2.48,3.72,3.81,3.89,95,3.9,5.9,948.0
2023-03-11 22:00:00,1.73,0.62,0.63,0.65,108,3.3,4.7,948.2
2023-03-11 23:00:00,2.78,4.66,4.78,4.88,233,4.3,7.3,950.0
2023-03-12 00:00:00,1.56,2.81,2.88,2.94,70,7.5,4.4,949.1
2023-03-12 01:00:00,2.48,4.25,4.36,4.45,238,3.5,6.8,951.0
