time,wind_speed_10m,wind_speed_10m_previous_day1,wind_speed_10m_previous_day2,wind_speed_10m_previous_day3,wind_speed_80m,wind_speed_80m_previous_day1,wind_speed_80m_previous_day2,wind_speed_80m_previous_day3,wind_speed_100m,wind_speed_100m_previous_day1,wind_speed_100m_previous_day2,wind_speed_100m_previous_day3,wind_speed_120m,wind_speed_120m_previous_day1,wind_speed_120m_previous_day2,wind_speed_120m_previous_day3,wind_direction_100m,wind_direction_100m_previous_day1,wind_direction_100m_previous_day2,wind_direction_100m_previous_day3,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2,temperature_2m_previous_day3
2025-11-01 00:00:00,7.96,8.46,9.13,8.79,12.87,13.58,14.68,14.86,13.2,13.93,15.06,15.25,13.48,14.22,15.37,15.56,251,257,260,262,11.7,11.9,12.5,11.2
2025-11-01 01:00:00,6.66,7.26,7.55,8.06,11.03,11.83,12.26,12.96,11.32,12.14,12.58,13.29,11.55,12.39,12.84,13.57,259,261,259,262,11.2,11.0,11.3,11.4
2025-11-01 02:00:00,5.95,6.59,6.88,6.62,9.96,10.64,11.21,10.92,10.22,10.91,11.5,11.2,10.43,11.14,11.74,11.44,274,267,265,264,11.0,10.6,10.8,10.9
2025-11-01 03:00:00,5.82,6.03,6.12,6.15,8.89,9.11,9.37,9.5,9.12,9.34,9.61,9.75,9.31,9.54,9.81,9.95,277,264,267,269,11.4,11.0,11.5,11.8
2025-11-01 04:00:00,5.98,6.28,6.93,6.98,8.57,8.79,9.62,9.66,8.79,9.01,9.87,9.91,8.97,9.2,10.08,10.12,278,267,266,279,11.7,11.3,11.8,12.7
2025-11-01 05:00:00,6.44,6.4,6.85,7.11,8.93,8.93,9.36,9.59,9.16,9.16,9.6,9.84,9.35,9.35,9.8,10.04,279,273,271,283,11.7,11.3,11.6,12.9
2025-11-01 06:00:00,6.63,6.25,7.06,7.14,9.07,8.63,9.56,9.48,9.31,8.85,9.8,9.73,9.5,9.04,10.01,9.93,281,271,268,285,11.5,11.1,11.0,13.2
2025-11-01 07:00:00,6.5,6.3,6.76,7.46,9.02,8.44,9.23,9.88,9.26,8.66,9.47,10.14,9.45,8.83,9.67,10.35,272,272,274,288,10.9,11.3,11.1,13.1
2025-11-01 08:00:00,6.57,5.95,6.42,7.22,8.97,8.0,8.72,9.57,9.2,8.21,8.95,9.82,9.39,8.38,9.14,10.02,269,272,276,290,10.9,10.9,11.1,13.0
2025-11-01 09:00:00,6.3,5.76,5.87,6.83,8.6,7.65,7.98,9.09,8.82,7.85,8.19,9.32,9.01,8.01,8.36,9.52,274,270,276,293,10.4,10.8,10.7,12.6
2025-11-01 10:00:00,5.58,5.52,5.05,5.95,7.74,7.5,6.89,8.09,7.95,7.69,7.07,8.3,8.11,7.85,7.22,8.47,264,264,274,295,9.6,10.5,10.4,11.9
2025-11-01 11:00:00,4.63,4.61,3.87,3.86,6.55,6.84,5.8,6.34,6.72,7.02,5.95,6.5,6.86,7.17,6.07,6.63,240,251,270,293,8.9,9.8,9.9,10.6
2025-11-01 12:00:00,4.36,2.73,2.89,2.93,6.87,5.02,5.57,5.36,7.04,5.15,5.72,5.5,7.19,5.25,5.84,5.62,243,246,258,272,8.5,8.8,8.9,9.3
2025-11-01 13:00:00,3.31,2.08,2.45,1.57,5.56,4.2,4.8,3.95,5.7,4.3,4.92,4.05,5.82,4.39,5.02,4.14,235,239,245,268,7.7,7.5,7.7,7.8
2025-11-01 14:00:00,2.53,1.9,2.14,1.48,4.56,3.61,4.23,2.92,4.68,3.7,4.34,3.0,4.78,3.78,4.43,3.06,221,232,235,246,7.1,6.6,7.1,6.7
2025-11-01 15:00:00,1.86,1.6,2.06,2.0,3.55,3.0,4.12,3.09,3.64,3.08,4.23,3.17,3.72,3.14,4.31,3.24,217,226,230,218,5.9,5.8,6.4,6.2
2025-11-01 16:00:00,1.3,1.15,1.61,1.55,2.21,1.9,3.3,2.63,2.26,1.95,3.39,2.7,2.31,1.99,3.46,2.75,225,228,239,220,4.8,5.0,5.7,5.4
