time,wind_speed_100m,wind_speed_100m_previous_day1,wind_speed_100m_previous_day2,wind_speed_10m,wind_speed_10m_previous_day1,wind_speed_10m_previous_day2,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2
2026-01-30 00:00:00+00:00,11.5,12.84,13.07,6.94,7.74,7.52,-3.5,-3.7,-4.0
2026-01-30 01:00:00+00:00,12.27,12.88,13.38,7.34,7.79,7.7,-3.7,-3.9,-4.3
2026-01-30 02:00:00+00:00,13.42,12.79,13.73,7.94,7.8,7.89,-3.8,-4.0,-4.5
2026-01-30 03:00:00+00:00,14.14,12.84,13.91,8.35,7.85,8.03,-3.5,-3.7,-4.3
2026-01-30 04:00:00+00:00,13.82,13.1,13.95,8.41,8.13,8.08,-2.5,-2.8,-3.5
2026-01-30 05:00:00+00:00,12.97,13.6,13.95,8.18,8.44,8.27,-1.1,-1.6,-2.2
2026-01-30 06:00:00+00:00,12.35,13.82,13.82,8.05,8.66,8.27,0.2,-0.5,-1.0
2026-01-30 07:00:00+00:00,12.3,13.69,13.46,8.25,8.7,8.35,1.4,0.5,0.1
2026-01-30 08:00:00+00:00,12.48,13.28,13.01,8.55,8.65,8.39,2.7,1.4,1.3
2026-01-30 09:00:00+00:00,12.44,13.1,12.75,8.45,8.55,8.29,3.3,1.9,1.8
2026-01-30 10:00:00+00:00,11.83,13.24,12.84,7.65,8.45,8.19,2.9,1.5,1.2
2026-01-30 11:00:00+00:00,11.01,13.52,13.17,6.66,8.32,7.96,1.9,0.6,0.1
2026-01-30 12:00:00+00:00,10.63,13.67,13.32,5.95,8.14,7.78,1.1,-0.2,-0.8
2026-01-30 13:00:00+00:00,10.99,13.45,13.09,6.14,7.92,7.47,0.7,-0.5,-1.2
2026-01-30 14:00:00+00:00,11.81,13.09,12.63,6.69,7.6,7.11,0.6,-0.7,-1.3
2026-01-30 15:00:00+00:00,12.25,12.78,12.13,7.02,7.29,6.71,0.4,-0.8,-1.5
2026-01-30 16:00:00+00:00,11.85,12.59,11.5,6.71,7.11,6.22,0.3,-0.9,-1.7
2026-01-30 17:00:00+00:00,11.05,12.46,10.78,6.13,7.02,5.77,0.1,-0.9,-1.8
2026-01-30 18:00:00+00:00,10.64,12.41,10.47,5.77,6.94,5.5,0.0,-0.9,-1.9
2026-01-30 19:00:00+00:00,11.14,12.58,10.65,6.13,7.07,5.59,-0.0,-1.0,-1.9
2026-01-30 20:00:00+00:00,12.08,12.84,11.15,6.8,7.31,5.95,-0.0,-1.1,-1.8
2026-01-30 21:00:00+00:00,12.66,12.98,11.65,7.24,7.44,6.31,-0.3,-1.3,-1.9
2026-01-30 22:00:00+00:00,12.54,12.98,12.19,7.13,7.44,6.8,-0.9,-1.4,-2.1
2026-01-30 23:00:00+00:00,12.2,12.94,12.85,6.9,7.53,7.29,-1.8,-1.6,-2.4
2026-01-31 00:00:00+00:00,12.03,12.89,13.34,6.8,7.53,7.69,-2.5,-1.8,-2.7
2026-01-31 01:00:00+00:00,12.35,12.85,13.61,7.02,7.57,7.88,-2.8,-2.1,-3.0
2026-01-31 02:00:00+00:00,12.92,12.95,13.56,7.52,7.57,7.98,-2.9,-2.4,-3.4
2026-01-31 03:00:00+00:00,13.22,12.89,13.6,7.79,7.65,8.03,-2.5,-2.2,-3.3
