time,wind_speed_100m,wind_speed_100m_previous_day1,wind_speed_100m_previous_day2,wind_speed_10m,wind_speed_10m_previous_day1,wind_speed_10m_previous_day2,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2
2026-02-09 00:00:00+00:00,9.35,8.93,9.54,6.08,5.95,6.31,-3.9,-4.1,-4.2
2026-02-09 01:00:00+00:00,8.64,8.8,9.93,5.61,5.97,6.72,-3.5,-4.0,-3.6
2026-02-09 02:00:00+00:00,9.38,8.23,8.54,5.15,5.46,5.59,-4.2,-3.7,-3.3
2026-02-09 03:00:00+00:00,9.19,8.32,8.29,6.06,5.52,4.81,-3.0,-3.4,-3.9
2026-02-09 04:00:00+00:00,7.92,8.58,8.02,5.1,5.74,5.06,-2.4,-3.0,-2.9
2026-02-09 05:00:00+00:00,7.08,7.64,7.82,4.5,5.08,5.3,-1.6,-2.4,-1.8
2026-02-09 06:00:00+00:00,6.0,6.16,8.09,4.39,4.67,5.28,-0.5,-1.5,-1.9
2026-02-09 07:00:00+00:00,5.88,6.35,7.28,4.04,4.69,4.96,0.1,-0.6,-0.9
2026-02-09 08:00:00+00:00,6.26,6.26,6.85,4.02,4.42,4.53,0.4,-0.4,0.2
2026-02-09 09:00:00+00:00,6.38,6.67,6.26,3.76,4.39,3.94,0.7,-0.3,0.5
2026-02-09 10:00:00+00:00,6.55,6.71,6.02,3.55,4.04,3.5,0.8,0.3,0.5
2026-02-09 11:00:00+00:00,6.01,6.55,6.21,2.94,3.96,3.22,0.5,0.4,-0.1
2026-02-09 12:00:00+00:00,6.21,6.95,5.71,2.5,3.33,2.19,-1.4,-0.8,-1.9
2026-02-09 13:00:00+00:00,6.04,6.7,7.12,2.11,2.91,2.77,-3.2,-2.2,-3.7
2026-02-09 14:00:00+00:00,6.14,6.79,7.27,2.09,2.77,2.94,-3.8,-3.2,-3.0
2026-02-09 15:00:00+00:00,5.08,6.59,7.81,1.78,2.2,3.22,-4.4,-3.5,-2.3
2026-02-09 16:00:00+00:00,4.04,6.21,7.14,2.72,1.84,2.47,-2.0,-4.2,-3.8
2026-02-09 17:00:00+00:00,4.86,6.52,7.94,2.61,2.28,3.74,-1.6,-4.8,-2.7
2026-02-09 18:00:00+00:00,5.58,7.03,8.54,2.56,2.91,4.22,-1.6,-2.9,-2.8
2026-02-09 19:00:00+00:00,4.83,7.0,8.22,1.48,3.05,3.31,-1.8,-2.4,-2.2
2026-02-09 20:00:00+00:00,4.72,7.07,8.02,1.96,3.79,3.99,-2.2,-2.2,-1.6
2026-02-09 21:00:00+00:00,5.3,7.0,8.51,2.6,3.11,4.41,-1.9,-1.9,-1.6
2026-02-09 22:00:00+00:00,6.01,7.11,8.94,2.81,3.24,5.02,-1.8,-2.4,-2.0
2026-02-09 23:00:00+00:00,6.58,7.82,7.28,2.92,3.83,4.38,-1.5,-1.7,-1.7
2026-02-10 00:00:00+00:00,9.4,6.87,7.57,6.31,3.84,4.69,-0.8,-1.2,-1.5
2026-02-10 01:00:00+00:00,12.02,9.63,8.46,8.45,6.6,5.72,-1.0,-0.8,-1.0
2026-02-10 02:00:00+00:00,12.7,10.66,10.74,8.81,7.26,7.53,-1.1,-0.8,-0.8
2026-02-10 03:00:00+00:00,13.03,10.68,10.96,9.05,7.47,7.53,-2.0,-0.8,-1.4
2026-02-10 04:00:00+00:00,12.85,11.45,11.82,8.92,7.92,8.18,-1.1,-1.5,-2.0
2026-02-10 05:00:00+00:00,12.84,11.76,12.4,9.19,8.24,8.66,-0.4,-0.7,-1.1
2026-02-10 06:00:00+00:00,12.54,12.4,11.73,8.96,8.85,8.41,-0.3,0.1,-0.4
2026-02-10 07:00:00+00:00,12.12,11.78,11.28,8.63,8.42,7.95,-0.3,-0.1,-0.3
2026-02-10 08:00:00+00:00,11.76,11.72,11.08,8.41,8.29,7.78,-0.1,-0.1,-0.1
2026-02-10 09:00:00+00:00,11.96,11.88,11.05,8.49,8.66,7.85,-0.1,-0.0,-0.0
2026-02-10 10:00:00+00:00,11.41,11.4,11.39,8.03,7.92,8.63,-0.5,-0.2,0.1
2026-02-10 11:00:00+00:00,12.12,10.15,10.68,8.54,7.14,7.51,-0.5,-0.5,-0.3
2026-02-10 12:00:00+00:00,10.9,9.62,10.32,7.55,6.66,7.28,-0.8,-0.9,-0.6
2026-02-10 13:00:00+00:00,10.54,9.71,9.87,7.38,6.72,6.92,-1.1,-0.9,-0.8
2026-02-10 14:00:00+00:00,10.21,10.58,10.4,6.95,7.21,7.29,-1.4,-0.8,-1.0
2026-02-10 15:00:00+00:00,10.2,11.24,10.18,7.0,7.75,6.91,-1.5,-0.9,-1.3
2026-02-10 16:00:00+00:00,10.48,11.21,11.01,7.11,7.67,7.48,-1.5,-1.1,-1.4
2026-02-10 17:00:00+00:00,11.4,11.82,10.95,7.89,8.16,7.5,-1.9,-1.3,-1.4
2026-02-10 18:00:00+00:00,12.26,12.26,10.92,8.73,8.45,7.4,-2.6,-1.5,-1.7
2026-02-10 19:00:00+00:00,11.81,14.45,13.31,8.45,10.16,9.65,-4.8,-2.3,-1.6
2026-02-10 20:00:00+00:00,12.43,13.3,11.84,8.75,9.87,8.44,-8.6,-4.4,-5.6
2026-02-10 21:00:00+00:00,11.53,12.2,11.43,8.12,8.9,8.17,-11.3,-7.7,-7.2
2026-02-10 22:00:00+00:00,10.95,11.42,10.94,7.32,8.11,7.6,-13.4,-10.6,-10.6
2026-02-10 23:00:00+00:00,11.1,10.91,9.81,7.38,7.4,6.41,-14.1,-13.0,-12.2
2026-02-11 00:00:00+00:00,10.99,10.01,10.16,7.27,6.62,6.93,-15.0,-14.7,-13.1
2026-02-11 01:00:00+00:00,10.84,9.9,9.62,7.15,6.53,6.4,-15.1,-15.1,-14.2
2026-02-11 02:00:00+00:00,10.58,9.59,9.02,6.96,6.28,5.94,-15.3,-15.4,-14.9
2026-02-11 03:00:00+00:00,9.93,9.02,8.78,6.37,5.82,5.71,-15.6,-15.6,-15.2
2026-02-11 04:00:00+00:00,9.67,8.6,8.53,6.58,5.61,5.75,-15.4,-15.2,-14.8
2026-02-11 05:00:00+00:00,9.93,8.57,8.24,6.98,5.92,5.94,-14.5,-14.4,-14.0
2026-02-11 06:00:00+00:00,10.48,8.76,9.07,7.58,6.31,6.74,-13.5,-13.3,-12.7
2026-02-11 07:00:00+00:00,10.72,8.97,9.63,8.03,6.62,7.08,-12.6,-12.6,-12.0
2026-02-11 08:00:00+00:00,10.85,9.49,10.04,8.25,7.21,7.41,-12.0,-12.0,-11.6
2026-02-11 09:00:00+00:00,10.72,9.59,9.91,7.91,7.18,7.4,-11.6,-11.6,-11.3
2026-02-11 10:00:00+00:00,10.21,9.26,9.3,7.49,6.62,6.75,-11.5,-11.5,-11.3
2026-02-11 11:00:00+00:00,9.68,8.83,8.93,6.93,6.14,6.28,-11.7,-11.7,-11.6
2026-02-11 12:00:00+00:00,9.36,8.38,8.04,6.43,5.66,5.53,-12.7,-12.5,-12.7
2026-02-11 13:00:00+00:00,8.7,8.07,7.28,5.29,4.18,3.55,-13.7,-14.0,-14.5
2026-02-11 14:00:00+00:00,8.41,7.96,7.06,4.02,3.38,3.0,-15.2,-15.2,-15.5
2026-02-11 15:00:00+00:00,8.05,7.82,6.77,3.44,2.91,2.92,-16.5,-16.5,-16.0
2026-02-11 16:00:00+00:00,7.69,7.61,6.83,3.1,2.93,2.65,-17.4,-17.3,-16.7
2026-02-11 17:00:00+00:00,7.41,7.18,6.81,2.77,2.6,2.8,-18.2,-18.0,-17.0
2026-02-11 18:00:00+00:00,7.06,6.43,6.36,2.71,2.3,2.55,-18.8,-18.9,-18.0
2026-02-11 19:00:00+00:00,6.63,5.76,6.36,2.82,2.33,2.53,-19.0,-19.3,-18.3
2026-02-11 20:00:00+00:00,5.77,5.41,6.49,2.3,2.15,2.73,-19.9,-19.7,-18.5
2026-02-11 21:00:00+00:00,4.26,4.81,5.86,1.58,2.13,2.5,-20.7,-20.1,-19.1
2026-02-11 22:00:00+00:00,3.0,3.62,5.34,1.39,1.93,2.42,-21.0,-20.4,-19.6
2026-02-11 23:00:00+00:00,2.01,3.37,4.32,1.5,2.67,2.31,-21.1,-20.5,-19.9
2026-02-12 00:00:00+00:00,1.86,3.58,3.62,1.56,2.28,2.51,-21.2,-20.7,-20.9
2026-02-12 01:00:00+00:00,3.7,4.27,4.11,2.66,2.92,2.59,-20.6,-20.3,-20.9
2026-02-12 02:00:00+00:00,4.85,4.56,4.39,3.36,3.19,3.08,-19.8,-20.0,-20.6
2026-02-12 03:00:00+00:00,5.38,5.28,4.73,3.49,3.58,3.45,-19.3,-19.7,-20.4
2026-02-12 04:00:00+00:00,5.63,5.89,5.0,3.36,3.58,3.2,-18.0,-18.5,-19.1
2026-02-12 05:00:00+00:00,5.2,5.47,4.88,3.69,3.79,3.45,-16.5,-17.1,-17.5
2026-02-12 06:00:00+00:00,5.22,5.82,4.72,4.24,4.74,3.72,-15.4,-15.7,-16.0
2026-02-12 07:00:00+00:00,5.51,6.02,4.6,4.54,4.94,3.91,-14.3,-14.7,-14.9
2026-02-12 08:00:00+00:00,5.32,6.17,4.85,4.42,4.9,4.08,-13.5,-13.8,-14.2
2026-02-12 09:00:00+00:00,5.43,5.87,5.41,4.43,4.75,4.44,-13.2,-13.5,-13.6
2026-02-12 10:00:00+00:00,5.82,6.14,6.17,4.63,4.85,4.66,-13.2,-13.5,-13.4
2026-02-12 11:00:00+00:00,6.58,6.99,6.99,4.4,4.72,4.34,-13.6,-14.0,-13.6
2026-02-12 12:00:00+00:00,7.73,8.15,8.3,4.05,4.39,4.25,-14.9,-15.2,-15.1
2026-02-12 13:00:00+00:00,9.34,9.66,9.38,4.72,4.8,4.27,-16.2,-16.6,-16.7
2026-02-12 14:00:00+00:00,9.7,9.95,10.13,4.7,4.56,4.74,-16.3,-17.1,-17.1
2026-02-12 15:00:00+00:00,9.77,10.57,10.72,4.75,5.0,5.03,-16.0,-17.2,-17.2
2026-02-12 16:00:00+00:00,9.79,9.64,10.61,5.07,4.87,5.32,-15.6,-16.6,-16.8
2026-02-12 17:00:00+00:00,9.74,10.05,11.1,5.12,5.31,5.58,-15.5,-16.2,-16.9
2026-02-12 18:00:00+00:00,9.43,9.81,10.4,5.0,5.1,5.6,-15.5,-16.0,-15.9
2026-02-12 19:00:00+00:00,9.64,10.0,10.5,5.07,5.22,5.65,-15.4,-16.1,-15.7
2026-02-12 20:00:00+00:00,9.4,9.8,10.3,4.71,5.03,5.58,-15.2,-15.6,-15.2
2026-02-12 21:00:00+00:00,9.4,10.0,10.5,4.78,5.22,5.65,-15.0,-15.3,-14.8
2026-02-12 22:00:00+00:00,9.4,9.6,10.61,4.55,4.97,5.43,-15.0,-15.0,-15.0
2026-02-12 23:00:00+00:00,9.31,9.9,10.62,4.68,5.03,5.53,-14.6,-15.2,-14.6
2026-02-13 00:00:00+00:00,9.21,9.4,10.52,4.59,4.71,5.63,-14.2,-14.6,-14.6
2026-02-13 01:00:00+00:00,9.35,9.72,11.04,4.73,4.97,6.04,-14.2,-14.6,-14.4
2026-02-13 02:00:00+00:00,9.91,10.04,10.44,4.69,4.9,5.85,-15.1,-14.5,-14.1
2026-02-13 03:00:00+00:00,9.8,10.69,10.23,4.69,5.26,5.95,-15.2,-14.8,-13.6
2026-02-13 04:00:00+00:00,9.45,9.9,10.01,4.62,4.95,5.95,-14.4,-14.2,-12.8
2026-02-13 05:00:00+00:00,8.88,8.92,9.43,5.0,5.22,6.11,-12.8,-12.9,-11.5
2026-02-13 06:00:00+00:00,8.2,8.26,8.81,5.1,5.21,6.01,-11.4,-11.2,-10.8
2026-02-13 07:00:00+00:00,6.92,7.76,8.27,4.91,5.4,6.11,-10.2,-10.2,-9.8
2026-02-13 08:00:00+00:00,6.49,6.48,7.51,4.8,4.71,5.73,-9.3,-9.3,-8.9
2026-02-13 09:00:00+00:00,6.52,6.51,7.24,4.6,4.71,5.51,-8.9,-8.8,-8.5
2026-02-13 10:00:00+00:00,7.0,7.21,7.12,4.44,4.77,5.05,-8.7,-8.6,-8.5
2026-02-13 11:00:00+00:00,7.8,8.22,7.72,4.41,4.83,5.08,-9.3,-9.3,-8.9
2026-02-13 12:00:00+00:00,8.82,9.4,8.92,4.24,4.54,4.66,-11.0,-10.7,-9.8
2026-02-13 13:00:00+00:00,9.49,10.24,10.03,4.22,4.63,4.56,-12.7,-12.3,-11.8
2026-02-13 14:00:00+00:00,9.77,10.51,10.37,4.46,4.67,4.69,-13.1,-12.9,-12.3
2026-02-13 15:00:00+00:00,9.73,10.39,10.31,4.41,4.54,4.67,-13.6,-13.4,-12.7
2026-02-13 16:00:00+00:00,9.07,10.0,10.2,4.0,4.39,4.55,-14.2,-13.8,-13.0
2026-02-13 17:00:00+00:00,8.2,9.42,9.98,3.77,4.37,4.59,-14.8,-14.1,-13.2
2026-02-13 18:00:00+00:00,7.54,8.77,9.39,3.9,4.22,4.43,-15.1,-14.6,-14.0
2026-02-13 19:00:00+00:00,7.71,8.7,9.44,4.27,4.43,4.55,-15.1,-14.8,-14.2
2026-02-13 20:00:00+00:00,8.01,8.9,9.44,4.11,4.4,4.49,-15.3,-15.0,-14.4
2026-02-13 21:00:00+00:00,8.21,9.33,9.33,4.18,4.49,4.4,-15.5,-15.2,-14.7
2026-02-13 22:00:00+00:00,8.11,9.35,9.02,4.11,4.46,4.21,-15.8,-15.6,-15.0
2026-02-13 23:00:00+00:00,7.91,9.23,8.7,3.86,4.46,4.22,-16.2,-15.8,-15.3
