time,wind_speed_100m,wind_speed_100m_previous_day1,wind_speed_100m_previous_day2,wind_speed_10m,wind_speed_10m_previous_day1,wind_speed_10m_previous_day2,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2
2026-01-30 00:00:00+00:00,10.94,11.4,10.93,4.7,5.09,4.43,-3.5,-3.4,-3.8
2026-01-30 01:00:00+00:00,10.47,11.13,10.93,4.39,4.87,4.59,-3.9,-3.6,-3.9
2026-01-30 02:00:00+00:00,10.63,11.13,11.08,4.61,4.9,4.72,-4.0,-3.7,-4.0
2026-01-30 03:00:00+00:00,10.66,11.13,11.05,4.81,5.13,4.9,-3.5,-3.3,-3.4
2026-01-30 04:00:00+00:00,10.88,11.32,11.48,5.78,6.22,6.28,-1.5,-1.3,-1.0
2026-01-30 05:00:00+00:00,10.15,10.92,11.68,7.79,7.78,7.83,0.5,0.7,1.5
2026-01-30 06:00:00+00:00,10.0,8.65,11.68,7.96,7.16,9.35,2.0,1.8,3.6
2026-01-30 07:00:00+00:00,10.3,8.77,12.21,8.27,7.38,9.8,3.2,3.0,5.1
2026-01-30 08:00:00+00:00,9.96,8.64,12.68,8.05,7.24,9.99,3.8,3.7,5.8
2026-01-30 09:00:00+00:00,9.66,8.5,12.27,7.79,7.11,9.6,4.5,4.0,6.1
2026-01-30 10:00:00+00:00,9.13,8.11,11.97,7.07,6.58,8.86,4.4,3.7,5.8
2026-01-30 11:00:00+00:00,8.92,7.45,12.56,5.82,5.11,7.83,3.2,2.6,4.6
2026-01-30 12:00:00+00:00,10.7,11.03,5.79,5.2,5.41,2.56,1.2,1.3,0.8
2026-01-30 13:00:00+00:00,9.26,10.01,4.17,3.73,4.39,1.49,-0.3,-0.0,-1.0
2026-01-30 14:00:00+00:00,8.52,8.99,1.5,2.98,3.48,1.28,-1.4,-1.2,-2.5
2026-01-30 15:00:00+00:00,6.94,8.25,0.98,2.14,2.94,2.11,-2.0,-2.0,-4.4
2026-01-30 16:00:00+00:00,5.35,7.51,1.87,1.42,2.4,1.96,-2.6,-2.4,-4.6
2026-01-30 17:00:00+00:00,4.5,6.94,1.62,0.81,2.02,1.53,-3.0,-2.8,-5.0
2026-01-30 18:00:00+00:00,5.04,4.04,1.4,0.78,0.81,1.46,-3.7,-3.5,-5.5
2026-01-30 19:00:00+00:00,4.87,4.22,0.96,0.86,0.61,1.2,-4.0,-3.7,-5.9
2026-01-30 20:00:00+00:00,4.53,4.93,0.63,0.81,0.36,1.1,-4.1,-3.3,-6.2
2026-01-30 21:00:00+00:00,4.37,5.61,0.66,0.81,0.7,0.81,-4.5,-3.0,-6.5
2026-01-30 22:00:00+00:00,4.93,6.76,1.55,0.78,1.6,0.58,-4.5,-3.8,-6.8
2026-01-30 23:00:00+00:00,6.33,7.85,1.77,1.71,2.3,0.32,-4.9,-4.5,-6.7
2026-01-31 00:00:00+00:00,7.56,9.92,5.95,2.4,3.77,0.91,-6.4,-3.9,-6.0
2026-01-31 01:00:00+00:00,8.64,10.2,6.69,3.01,3.98,1.5,-6.1,-3.9,-6.2
2026-01-31 02:00:00+00:00,9.95,10.85,7.1,3.79,4.27,1.7,-5.7,-3.9,-6.2
2026-01-31 03:00:00+00:00,10.57,11.25,7.72,4.22,4.65,2.2,-4.4,-2.9,-5.3
2026-01-31 04:00:00+00:00,10.6,11.47,8.33,5.09,5.61,2.86,-1.5,0.3,-2.2
2026-01-31 05:00:00+00:00,10.75,11.43,8.86,6.58,7.16,4.94,1.2,3.1,1.3
2026-01-31 06:00:00+00:00,9.74,10.04,6.85,7.69,7.6,5.61,4.5,4.2,1.2
2026-01-31 07:00:00+00:00,9.51,9.81,6.3,7.83,7.92,5.52,6.0,5.7,2.9
2026-01-31 08:00:00+00:00,9.52,9.82,6.37,7.87,7.92,5.59,7.1,6.8,4.4
2026-01-31 09:00:00+00:00,9.44,9.47,6.28,7.61,7.6,5.5,7.7,7.4,5.4
2026-01-31 10:00:00+00:00,9.16,8.98,6.09,7.16,6.89,5.11,7.3,7.2,5.5
2026-01-31 11:00:00+00:00,9.25,8.98,5.3,5.83,5.61,3.64,6.0,5.9,4.5
2026-01-31 12:00:00+00:00,10.61,9.02,9.87,5.37,3.98,4.61,3.9,3.3,3.6
2026-01-31 13:00:00+00:00,9.3,7.04,8.46,3.99,2.4,3.23,2.3,1.0,1.2
2026-01-31 14:00:00+00:00,8.3,4.59,7.16,3.07,1.56,2.4,1.2,-0.2,-0.1
2026-01-31 15:00:00+00:00,5.61,1.02,5.64,1.43,2.33,1.75,0.9,-1.6,-0.8
2026-01-31 16:00:00+00:00,1.52,4.9,3.17,3.56,3.42,1.8,-0.8,-2.4,-1.5
2026-01-31 17:00:00+00:00,7.42,8.06,0.71,4.22,3.52,2.42,-0.7,-2.4,-2.6
2026-01-31 18:00:00+00:00,6.04,5.44,2.36,3.54,2.62,2.3,-2.3,-2.8,-2.5
2026-01-31 19:00:00+00:00,6.87,5.02,2.79,3.22,2.13,1.84,-2.8,-3.0,-2.7
2026-01-31 20:00:00+00:00,5.35,3.24,2.61,2.47,1.33,1.49,-3.1,-3.2,-2.6
2026-01-31 21:00:00+00:00,3.21,1.15,2.26,1.53,0.81,1.14,-3.1,-3.5,-2.7
2026-01-31 22:00:00+00:00,0.84,0.98,0.78,0.63,0.51,0.81,-3.1,-3.3,-3.1
2026-01-31 23:00:00+00:00,0.71,1.18,0.62,0.67,0.64,0.71,-2.9,-3.2,-3.6
2026-02-01 00:00:00+00:00,1.46,1.77,0.59,1.22,0.72,0.41,-5.2,-1.9,-3.1
2026-02-01 01:00:00+00:00,2.2,2.91,0.84,1.12,0.9,0.3,-5.0,-2.5,-3.0
2026-02-01 02:00:00+00:00,3.15,3.5,0.53,0.95,0.58,0.95,-4.8,-2.5,-3.3
2026-02-01 03:00:00+00:00,3.64,5.37,2.84,1.26,2.12,1.55,-4.3,-2.4,-3.6
2026-02-01 04:00:00+00:00,4.37,6.89,3.9,1.81,3.35,1.65,-3.1,-0.6,-1.9
2026-02-01 05:00:00+00:00,3.5,6.88,5.08,1.62,4.29,3.09,-1.2,1.0,0.9
2026-02-01 06:00:00+00:00,3.76,5.14,4.43,3.26,4.24,3.62,2.6,2.7,2.2
2026-02-01 07:00:00+00:00,3.21,3.84,4.75,2.98,3.61,4.39,4.0,3.6,3.5
2026-02-01 08:00:00+00:00,3.26,3.61,4.96,3.04,3.32,4.49,5.3,4.6,4.4
2026-02-01 09:00:00+00:00,3.43,3.13,5.17,3.21,2.92,4.59,6.1,5.5,5.2
2026-02-01 10:00:00+00:00,3.04,3.29,5.11,2.81,3.09,4.44,6.5,5.7,5.3
2026-02-01 11:00:00+00:00,2.66,3.75,5.3,2.09,3.0,3.76,6.1,5.0,4.4
2026-02-01 12:00:00+00:00,3.93,2.67,3.24,2.41,1.81,1.93,4.2,3.1,3.0
2026-02-01 13:00:00+00:00,3.96,3.14,3.34,2.12,1.91,1.81,1.6,0.8,0.7
2026-02-01 14:00:00+00:00,4.88,3.73,3.66,2.2,1.91,1.75,0.1,-0.4,-0.5
2026-02-01 15:00:00+00:00,5.62,4.15,4.11,2.4,1.92,1.84,-1.0,-1.1,-1.1
2026-02-01 16:00:00+00:00,5.58,4.63,4.25,2.31,2.14,1.77,-1.6,-1.5,-1.5
2026-02-01 17:00:00+00:00,5.28,4.86,4.48,2.35,2.06,1.84,-1.9,-1.7,-1.8
2026-02-01 18:00:00+00:00,5.61,4.9,2.76,2.55,1.99,1.49,-2.8,-2.3,-2.2
2026-02-01 19:00:00+00:00,5.68,4.61,3.37,2.6,2.01,1.72,-3.1,-2.5,-2.6
2026-02-01 20:00:00+00:00,6.04,4.71,4.06,2.79,2.09,1.84,-3.2,-2.8,-3.0
2026-02-01 21:00:00+00:00,6.8,5.56,5.11,3.03,2.5,2.09,-3.4,-3.2,-3.2
2026-02-01 22:00:00+00:00,7.81,7.13,6.26,3.31,3.13,2.4,-3.6,-3.6,-3.2
2026-02-01 23:00:00+00:00,9.08,8.24,7.22,3.85,3.54,2.9,-3.7,-3.7,-3.2
2026-02-02 00:00:00+00:00,9.36,9.84,8.74,3.96,4.18,3.35,-4.0,-3.3,-3.6
2026-02-02 01:00:00+00:00,9.54,10.51,9.33,3.96,4.49,3.59,-4.1,-3.3,-3.8
2026-02-02 02:00:00+00:00,9.91,10.88,9.82,4.08,4.59,3.91,-4.1,-3.2,-3.8
2026-02-02 03:00:00+00:00,9.95,11.07,10.7,4.16,4.72,4.41,-3.4,-2.4,-2.9
2026-02-02 04:00:00+00:00,10.13,11.62,11.04,5.12,6.02,5.32,-0.6,-0.1,-0.1
2026-02-02 05:00:00+00:00,10.63,12.05,11.99,6.85,7.7,7.35,1.9,2.6,2.5
2026-02-02 06:00:00+00:00,8.59,10.48,9.9,7.38,8.77,7.92,4.6,5.3,4.6
2026-02-02 07:00:00+00:00,9.6,11.35,10.34,8.1,9.39,8.45,6.2,7.0,6.2
2026-02-02 08:00:00+00:00,9.65,11.84,10.97,8.19,9.79,8.81,7.3,8.0,7.3
2026-02-02 09:00:00+00:00,9.34,11.75,11.23,7.87,9.53,8.9,8.0,8.4,7.9
2026-02-02 10:00:00+00:00,8.42,11.26,11.35,6.75,8.83,8.64,8.0,8.1,7.7
2026-02-02 11:00:00+00:00,5.84,9.24,11.53,4.11,6.36,7.7,7.0,6.8,6.5
2026-02-02 12:00:00+00:00,5.6,5.41,9.77,2.55,1.56,4.69,5.1,4.3,4.4
2026-02-02 13:00:00+00:00,2.57,3.17,6.51,1.53,2.4,1.7,2.9,1.7,2.2
