time,wind_speed_10m,wind_speed_10m_previous_day1,wind_speed_10m_previous_day2,wind_speed_80m,wind_speed_80m_previous_day1,wind_speed_80m_previous_day2,wind_speed_100m,wind_speed_100m_previous_day1,wind_speed_100m_previous_day2,wind_speed_120m,wind_speed_120m_previous_day1,wind_speed_120m_previous_day2,wind_direction_100m,wind_direction_100m_previous_day1,wind_direction_100m_previous_day2,wind_gusts_10m,wind_gusts_10m_previous_day1,wind_gusts_10m_previous_day2,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2,surface_pressure,surface_pressure_previous_day1,surface_pressure_previous_day2
2026-01-30 00:00:00+00:00,4.05,4.73,4.14,7.1,8.26,7.78,7.28,8.47,7.99,7.43,8.65,8.15,67,63,65,7.6,8.4,7.0,-4.2,-5.2,-5.7,957.7,957.9,956.6
2026-01-30 01:00:00+00:00,4.75,4.62,4.31,8.34,7.85,7.96,8.55,8.05,8.16,8.73,8.22,8.33,61,64,64,8.0,7.9,7.3,-4.5,-5.3,-5.7,957.6,957.6,956.3
2026-01-30 02:00:00+00:00,4.93,4.52,4.46,8.59,7.74,8.04,8.81,7.95,8.25,8.99,8.11,8.42,62,66,65,8.3,7.6,7.5,-4.6,-5.5,-5.8,957.0,957.4,956.1
2026-01-30 03:00:00+00:00,5.0,4.75,4.81,8.44,7.94,8.11,8.65,8.15,8.32,8.83,8.32,8.49,64,66,64,8.3,8.0,7.8,-3.9,-4.9,-5.0,957.0,957.4,956.2
2026-01-30 04:00:00+00:00,5.22,5.43,5.17,9.34,8.28,8.22,9.58,8.5,8.43,9.78,8.67,8.61,61,63,62,9.3,9.6,9.9,-1.5,-2.2,-2.6,957.1,957.5,956.5
2026-01-30 05:00:00+00:00,6.31,5.76,5.7,9.04,8.82,8.46,9.28,9.05,8.68,9.47,9.24,8.86,56,60,57,11.8,12.4,12.5,0.7,0.2,-0.8,957.1,957.4,956.5
2026-01-30 06:00:00+00:00,6.44,6.77,6.32,8.84,9.45,9.13,9.07,9.7,9.37,9.26,9.9,9.56,58,55,58,12.8,11.6,15.1,3.3,1.7,1.3,956.6,956.7,955.9
2026-01-30 07:00:00+00:00,7.03,7.17,6.8,9.35,9.94,9.38,9.6,10.2,9.63,9.79,10.41,9.82,56,55,57,13.2,12.0,15.9,4.1,2.8,3.2,955.8,955.7,954.8
2026-01-30 08:00:00+00:00,7.24,7.38,6.8,9.74,10.38,9.51,9.99,10.65,9.75,10.2,10.87,9.95,58,55,58,13.5,12.0,16.3,4.7,3.3,3.5,954.7,954.7,953.8
2026-01-30 09:00:00+00:00,7.05,7.07,6.48,9.72,10.22,9.15,9.97,10.49,9.39,10.18,10.7,9.59,58,55,58,13.4,11.8,16.3,4.8,3.4,3.8,954.2,954.3,953.3
2026-01-30 10:00:00+00:00,6.49,6.28,5.38,9.59,9.84,9.09,9.84,10.1,9.32,10.04,10.31,9.52,62,61,63,12.8,11.4,15.6,4.4,3.7,3.6,954.1,954.4,953.2
