lat,lon,elevation_m,i,j,x_m,y_m
43.590184,78.462733,708.0,0,0,-6000.0,-6000.0
43.590184,78.465837,701.0,1,0,-5750.0,-6000.0
43.590184,78.46894,698.0,2,0,-5500.0,-6000.0
43.590184,78.472044,694.0,3,0,-5250.0,-6000.0
43.590184,78.475147,691.0,4,0,-5000.0,-6000.0
43.590184,78.478251,688.0,5,0,-4750.0,-6000.0
43.590184,78.481354,689.0,6,0,-4500.0,-6000.0
43.590184,78.484457,703.0,7,0,-4250.0,-6000.0
43.590184,78.487561,741.0,8,0,-4000.0,-6000.0
43.590184,78.490664,754.0,9,0,-3750.0,-6000.0
43.590184,78.493768,752.0,10,0,-3500.0,-6000.0
43.590184,78.496871,751.0,11,0,-3250.0,-6000.0
43.590184,78.499975,747.0,12,0,-3000.0,-6000.0
43.590184,78.503078,745.0,13,0,-2750.0,-6000.0
43.590184,78.506182,744.0,14,0,-2500.0,-6000.0
43.590184,78.509285,742.0,15,0,-2250.0,-6000.0
43.590184,78.512388,740.0,16,0,-2000.0,-6000.0
43.590184,78.515492,734.0,17,0,-1750.0,-6000.0
43.590184,78.518595,722.0,18,0,-1500.0,-6000.0
43.590184,78.521699,707.0,19,0,-1250.0,-6000.0
43.590184,78.524802,705.0,20,0,-1000.0,-6000.0
43.590184,78.527906,733.0,21,0,-750.0,-6000.0
43.590184,78.531009,758.0,22,0,-500.0,-6000.0
43.590184,78.534113,748.0,23,0,-250.0,-6000.0
43.590184,78.537216,747.0,24,0,0.0,-6000.0
43.590184,78.540319,749.0,25,0,250.0,-6000.0
43.590184,78.543423,737.0,26,0,500.0,-6000.0
43.590184,78.546526,743.0,27,0,750.0,-6000.0
43.590184,78.54963,731.0,28,0,1000.0,-6000.0
43.590184,78.552733,740.0,29,0,1250.0,-6000.0
43.590184,78.555837,732.0,30,0,1500.0,-6000.0
43.590184,78.55894,726.0,31,0,1750.0,-6000.0
43.590184,78.562044,729.0,32,0,2000.0,-6000.0
43.590184,78.565147,723.0,33,0,2250.0,-6000.0
