variant,turbine,lead_day,sector_i,sector,n,mae,rmse,bias,coverage_pct,width
baseline,t1,1,0,N,11,0.05085414336502559,0.062087652187522796,0.048287319963453264,90.9090909090909,0.10145181540491804
baseline,t1,1,1,NNE,12,0.05119823306149565,0.06290300858117337,0.047637980310164786,100.0,0.17497647689318718
baseline,t1,1,2,NE,122,0.17371643007216772,0.2318334579561297,0.0689197090495349,81.9672131147541,0.42777473744337374
baseline,t1,1,3,ENE,655,0.20195547732955335,0.26467757695835353,0.060987459728558346,65.64885496183206,0.4894305200466567
baseline,t1,1,4,E,87,0.13174919913239796,0.18990866990314725,-0.06448697054392932,75.86206896551724,0.3237780587909135
baseline,t1,1,5,ESE,11,0.11297603214626063,0.13724352697980696,-0.007274910923952449,81.81818181818183,0.2256305689925023
baseline,t1,1,6,SE,8,0.16251146680006948,0.26955571710401105,-0.1390040823340052,62.5,0.25763690408494483
baseline,t1,1,7,SSE,6,0.15085198220621351,0.23830421192166576,-0.1090634750012111,66.66666666666666,0.34766386218728274
baseline,t1,1,8,S,7,0.20680533013859415,0.24836030390750874,-0.19470384762582374,28.57142857142857,0.2975877352121669
baseline,t1,1,9,SSW,14,0.1148940787191969,0.18768413930090827,0.008409667047170142,92.85714285714286,0.19686007255716195
baseline,t1,1,10,SW,107,0.17602904643145306,0.23397453821054193,-0.006885607997376554,78.50467289719626,0.4348516423891939
baseline,t1,1,11,WSW,279,0.15523846702077324,0.21573099668857368,0.06509251537187583,80.64516129032258,0.3994897257093366
baseline,t1,1,12,W,114,0.09860133497040928,0.13704303667889742,0.034999328982208214,86.8421052631579,0.291604583211213
baseline,t1,1,13,WNW,22,0.06009072183300808,0.0875489486797077,0.04411590503812115,90.9090909090909,0.15849859771373703
baseline,t1,1,14,NW,8,0.05992816215318973,0.0930937053567183,0.0525564270612203,87.5,0.1318148252563728
baseline,t1,1,15,NNW,16,0.03064485186056961,0.052104914955659894,0.027906606708474575,100.0,0.12785046436447883
baseline,t1,2,0,N,4,0.07009373442448291,0.09438959710566189,-0.01928634017889932,75.0,0.09699203680517854
baseline,t1,2,1,NNE,17,0.09307606606578193,0.15985337913190606,0.07902336858010053,94.11764705882352,0.18942124200147378
baseline,t1,2,2,NE,114,0.19391650041052452,0.25584904960495214,0.07357499116010467,76.31578947368422,0.5010498263147827
baseline,t1,2,3,ENE,672,0.21199864396648663,0.27931747833358345,0.05880898571364074,68.45238095238095,0.5105513073061706
baseline,t1,2,4,E,70,0.1476470741419047,0.19241333079744224,-0.030522037290187105,78.57142857142857,0.3827449762352136
baseline,t1,2,5,ESE,19,0.16377599294884848,0.2203801824094224,-0.10334398861898587,68.42105263157895,0.27444308439899034
baseline,t1,2,6,SE,10,0.14382376356428084,0.1809919634040357,-0.03948111454017134,80.0,0.3394152849898421
baseline,t1,2,7,SSE,10,0.10764361254435902,0.18533208576545443,-0.0005974684474536043,90.0,0.31923528450587474
baseline,t1,2,8,S,8,0.19621500241311896,0.30611944192516954,-0.1329892843995203,50.0,0.1675983122488898
baseline,t1,2,9,SSW,14,0.1563956098543946,0.21883764038173018,0.01068256705986543,64.28571428571429,0.26491401925609936
baseline,t1,2,10,SW,112,0.17831603742502813,0.24569742228571056,0.011188340672978985,79.46428571428571,0.4724953959417738
baseline,t1,2,11,WSW,272,0.1721908274129486,0.23685005766263698,0.033161466483762045,76.10294117647058,0.40763933329536206
baseline,t1,2,12,W,109,0.11992191270244527,0.17551345502129762,0.03006243740945797,87.1559633027523,0.30177657238375244
baseline,t1,2,13,WNW,25,0.07385151066280086,0.09057441629026536,0.03384020063611735,92.0,0.1822727903627493
baseline,t1,2,14,NW,11,0.05299882681501926,0.06482905425099499,0.03502109810929074,90.9090909090909,0.12322613687171445
baseline,t1,2,15,NNW,12,0.08866848844829134,0.1341782234765991,0.08430463999287757,91.66666666666666,0.22707549849682618
baseline,t2,1,0,N,11,0.051041953693273245,0.06235869464957985,0.0492825942112479,90.9090909090909,0.1029084660736653
baseline,t2,1,1,NNE,12,0.051771744287955224,0.062388265814195265,0.05093841095462189,91.66666666666666,0.1750311588488723
baseline,t2,1,2,NE,122,0.17736710099431918,0.2394545018533356,0.06212728657181719,68.85245901639344,0.4370526456721536
baseline,t2,1,3,ENE,651,0.2033587965895034,0.265379933499293,0.06528270422560802,71.42857142857143,0.5161468790411106
baseline,t2,1,4,E,84,0.13174091168943547,0.1884763630677906,-0.05836480561649418,77.38095238095238,0.3469953477688458
baseline,t2,1,5,ESE,11,0.10670781977513664,0.13688364795738117,0.0019801512393393876,81.81818181818183,0.22623479777106284
baseline,t2,1,6,SE,8,0.15945900782651154,0.26701915953730904,-0.13627632933645886,62.5,0.2590569559594721
baseline,t2,1,7,SSE,6,0.14777942658702828,0.23737135679600574,-0.1028949854823426,66.66666666666666,0.3408733035135821
baseline,t2,1,8,S,7,0.19279972600802855,0.23636861114313829,-0.18181032400263675,28.57142857142857,0.30523242040377546
baseline,t2,1,9,SSW,14,0.10938810251593896,0.1722252169446697,0.012079596372242925,92.85714285714286,0.19741597096417232
baseline,t2,1,10,SW,106,0.17812970217832655,0.23515389425711883,-0.008145722593360487,70.75471698113208,0.44086116977406553
baseline,t2,1,11,WSW,276,0.15376430570715507,0.21524181308861193,0.06882463894250865,73.18840579710145,0.4008099879912002
baseline,t2,1,12,W,110,0.09511484448674637,0.12889971146114398,0.04575068690512809,80.0,0.2795600917526951
baseline,t2,1,13,WNW,21,0.06698648188236574,0.09637913513328314,0.04316656983370077,76.19047619047619,0.1597106402470693
baseline,t2,1,14,NW,8,0.06013880738407992,0.09331624242519945,0.05306511143796583,87.5,0.13295538673341284
baseline,t2,1,15,NNW,16,0.030858891324408826,0.052216151180102865,0.028193096273836947,87.5,0.12948712345648228
baseline,t2,2,0,N,4,0.08959358631586757,0.13304998293826847,-0.040065962508760475,75.0,0.09872446387504917
baseline,t2,2,1,NNE,17,0.09055730984316758,0.15863918065734922,0.0766448660731828,88.23529411764706,0.19079673759304075
baseline,t2,2,2,NE,114,0.19601223083667232,0.26000010921778366,0.0657556367670402,68.42105263157895,0.506327018554323
baseline,t2,2,3,ENE,667,0.21425349954139342,0.2813523954979709,0.06325209940111416,71.06446776611695,0.5334716990965948
baseline,t2,2,4,E,67,0.1545221825764301,0.19955682407356784,-0.022162270513036347,76.11940298507463,0.3995628079446923
baseline,t2,2,5,ESE,19,0.152700867494633,0.20477593049842713,-0.09256051633441925,73.68421052631578,0.2788694063713615
baseline,t2,2,6,SE,10,0.1248232081655583,0.1696326491031758,-0.020756547443651352,90.0,0.3406541074858553
baseline,t2,2,7,SSE,10,0.11363702032676688,0.19021502932569903,0.0026672601904701872,80.0,0.318757240296491
baseline,t2,2,8,S,8,0.19373186303893125,0.30729225679668015,-0.13169092153339296,50.0,0.1692962909063682
baseline,t2,2,9,SSW,13,0.15114910967050899,0.21111679838000413,0.029183348942975917,61.53846153846154,0.27089361689016384
baseline,t2,2,10,SW,112,0.17865179717984045,0.24685243321601605,0.011795374639294896,73.21428571428571,0.4782011400719542
baseline,t2,2,11,WSW,268,0.16784111833763754,0.23284230965246164,0.03893936493612511,70.52238805970148,0.3998621568281399
baseline,t2,2,12,W,106,0.12288796883992602,0.17625675044191058,0.03260954202776205,78.30188679245283,0.30764611782868856
baseline,t2,2,13,WNW,25,0.07192032929687436,0.08936564497705331,0.035242215534163825,92.0,0.17764536277071838
baseline,t2,2,14,NW,11,0.05244230359145497,0.06375168639371694,0.03556493010503411,72.72727272727273,0.12478520662340467
baseline,t2,2,15,NNW,12,0.08918699446248361,0.1350061056455176,0.08418850543764005,83.33333333333334,0.22794925899760235
all,t1,1,0,N,11,0.0437349010014954,0.049288857339189134,0.041916719183313585,90.9090909090909,0.13956895760336427
all,t1,1,1,NNE,12,0.045931166988692436,0.05071714655565896,0.045931166988692436,100.0,0.18847056050787422
all,t1,1,2,NE,122,0.16576806239343234,0.2264608629575287,0.0580392832953603,76.22950819672131,0.422863466524117
all,t1,1,3,ENE,655,0.19985077213384644,0.2619712568354512,0.05621561370027444,68.70229007633588,0.48487269204714084
all,t1,1,4,E,87,0.12714792092919056,0.18905433945338918,-0.06724210526586365,80.45977011494253,0.32100815119140375
all,t1,1,5,ESE,11,0.09102900034701543,0.12111225504590248,-0.023752542812844366,81.81818181818183,0.23135112143621558
all,t1,1,6,SE,8,0.174913611868649,0.2997443740765402,-0.1587711436562145,62.5,0.2540630935211675
all,t1,1,7,SSE,6,0.16041060465473544,0.25341903878458405,-0.11337565255949004,66.66666666666666,0.3313951418760091
all,t1,1,8,S,7,0.20719262831821297,0.254286552725556,-0.202841269951703,28.57142857142857,0.29669425332193244
all,t1,1,9,SSW,14,0.11942422079939581,0.18137551033350252,0.00459603040670367,92.85714285714286,0.22647030479859862
all,t1,1,10,SW,107,0.17322647131440586,0.23139798935483397,-0.01249718231608729,71.96261682242991,0.4202975450798129
all,t1,1,11,WSW,279,0.15278535628856027,0.21260297058363334,0.054792833946043985,79.21146953405018,0.3875556051423323
all,t1,1,12,W,114,0.09470622850727063,0.1333198732983859,0.016814085189738526,86.8421052631579,0.283588029254929
all,t1,1,13,WNW,22,0.04808721440032699,0.0657474035453387,0.028693789519399528,90.9090909090909,0.14679077350097974
all,t1,1,14,NW,8,0.050401065424984015,0.0830189193328745,0.04778120209696661,87.5,0.11127944604303895
all,t1,1,15,NNW,16,0.029026300861915485,0.04607678944532814,0.02782538076896547,100.0,0.10859114587160822
all,t1,2,0,N,4,0.05958038747591115,0.08902438582747065,-0.027081328274516196,75.0,0.10919587796628084
all,t1,2,1,NNE,17,0.07426569414771872,0.12633944161711308,0.0657896436807763,88.23529411764706,0.20995881545071457
all,t1,2,2,NE,114,0.19487838502105043,0.25772312744670994,0.06403667933786385,73.68421052631578,0.48379409020424147
all,t1,2,3,ENE,672,0.21091276721974866,0.27817394670537693,0.0558152457934946,72.17261904761905,0.5049096278134553
all,t1,2,4,E,70,0.14201027837147082,0.18631447918065985,-0.03205290931654659,81.42857142857143,0.36874193087234725
all,t1,2,5,ESE,19,0.1572758165501761,0.21600899049206845,-0.10374489733396965,78.94736842105263,0.28960659330209365
all,t1,2,6,SE,10,0.11830977883731719,0.15052321229149848,-0.034764942487817405,80.0,0.3237668552182523
all,t1,2,7,SSE,10,0.11961441253966265,0.20414009416189585,0.004812310434442906,90.0,0.3434757878820093
all,t1,2,8,S,8,0.19807124606948268,0.30943135575479164,-0.14785514403309782,50.0,0.1993238112802974
all,t1,2,9,SSW,14,0.15428631117671993,0.21508265510938052,-0.0022378849146168817,64.28571428571429,0.2794338559538653
all,t1,2,10,SW,112,0.17782224608623645,0.2475219638618591,0.012585090847319822,77.67857142857143,0.46550393455496614
all,t1,2,11,WSW,272,0.17102132662637512,0.23691831598365992,0.02648259604880502,73.16176470588235,0.3962505793630474
all,t1,2,12,W,109,0.11560518282714707,0.1724660607729112,0.01797310033717581,86.23853211009175,0.29951377667347506
all,t1,2,13,WNW,25,0.06332222904262788,0.08051888019799908,0.019720921318335517,92.0,0.1793427888383259
all,t1,2,14,NW,11,0.042144873957140234,0.05064013411146738,0.03137060693967581,90.9090909090909,0.11455797272652858
all,t1,2,15,NNW,12,0.08080067578306142,0.12245695663928242,0.07493492858344776,100.0,0.22179186583776023
all,t2,1,0,N,11,0.045055532378780204,0.05004738166323949,0.04354038086362869,90.9090909090909,0.1385872914973383
all,t2,1,1,NNE,12,0.05079227809980355,0.05545513061695191,0.05079227809980355,91.66666666666666,0.1883964327213458
all,t2,1,2,NE,122,0.17111623624663969,0.23548203218385735,0.054104786835123674,68.0327868852459,0.4419233113601458
all,t2,1,3,ENE,651,0.2026352395141571,0.2634944605593517,0.0618191625282689,71.27496159754224,0.5200045488789236
all,t2,1,4,E,84,0.12858549066074546,0.18897361981735447,-0.06254987188679603,71.42857142857143,0.35637882486519007
all,t2,1,5,ESE,11,0.09173050371010781,0.12287764662460585,-0.013786371651848322,81.81818181818183,0.2293067965957351
all,t2,1,6,SE,8,0.17154223764875692,0.2970410258738321,-0.15487577672512726,75.0,0.2643088385170105
all,t2,1,7,SSE,6,0.15791060465473547,0.25468442365113114,-0.10754231922615672,66.66666666666666,0.3304805646835636
all,t2,1,8,S,7,0.1933831045086891,0.244021675416704,-0.18998412709456014,28.57142857142857,0.3070536836733558
all,t2,1,9,SSW,14,0.1141829527361771,0.16699677271973898,0.008646822279446189,92.85714285714286,0.22676770272349953
all,t2,1,10,SW,106,0.17421032423228475,0.2291332164414809,-0.019242345154813465,69.81132075471697,0.4362701589661669
all,t2,1,11,WSW,276,0.15088272973736622,0.21195258325309238,0.05863721809065212,75.0,0.4025559436409806
all,t2,1,12,W,110,0.09049422412944982,0.12282905344700487,0.02858708280704362,82.72727272727273,0.28185081744188395
all,t2,1,13,WNW,21,0.053061858294606745,0.07198685791303837,0.028406482110126176,76.19047619047619,0.1509407028309709
all,t2,1,14,NW,8,0.05175538165071798,0.08386437909587904,0.04925538165071798,62.5,0.11154568411906471
all,t2,1,15,NNW,16,0.030805102481255463,0.04753272086145013,0.029308444245482713,93.75,0.11461681992115297
all,t2,2,0,N,4,0.08181557441736377,0.12879349983754462,-0.044846141333063576,75.0,0.1069661755755944
all,t2,2,1,NNE,17,0.07289314512811088,0.12603781314738607,0.06461317309254103,70.58823529411765,0.21119986993316592
all,t2,2,2,NE,114,0.19775110217537942,0.2626168193575213,0.058831100340491396,69.2982456140351,0.5112461226940715
all,t2,2,3,ENE,667,0.21465512344093687,0.2809262587388823,0.06175103880730811,71.66416791604198,0.5415191172716063
all,t2,2,4,E,67,0.15382337696966403,0.1971376873251421,-0.026834354799225826,73.13432835820896,0.4115204270995101
all,t2,2,5,ESE,19,0.14796522026727085,0.20234769652588475,-0.09180731435082304,73.68421052631578,0.29269207888214466
all,t2,2,6,SE,10,0.10397713818648338,0.1450987401326266,-0.011980898331738647,80.0,0.3279029679779262
all,t2,2,7,SSE,10,0.12517599338245752,0.20998759388517768,0.008584062924981355,90.0,0.3457638542728044
all,t2,2,8,S,8,0.19622255317349035,0.31052776982835545,-0.14432085697317146,50.0,0.20033770966095468
all,t2,2,9,SSW,13,0.14395229572494445,0.2021688992836212,0.020816452687245364,61.53846153846154,0.2873199021760614
all,t2,2,10,SW,112,0.17860354951715138,0.2501969041096079,0.006136769133980231,75.0,0.47649753786748283
all,t2,2,11,WSW,268,0.16673102749820393,0.23205505351657096,0.033424968767081564,72.01492537313433,0.4044430855149295
all,t2,2,12,W,106,0.11856946232435762,0.1732224578929561,0.021506818212657184,83.01886792452831,0.314200377328455
all,t2,2,13,WNW,25,0.061043390181777374,0.07671114122967294,0.02318914968097888,96.0,0.16904889599158784
all,t2,2,14,NW,11,0.04231409218595125,0.051024337985443924,0.03318664585174148,72.72727272727273,0.11532690028741294
all,t2,2,15,NNW,12,0.0817670366924929,0.12305736330433749,0.07545055105772805,100.0,0.22675883503106928
selected,t1,1,0,N,11,0.045209480202059636,0.05314493163877336,0.04339129838387781,90.9090909090909,0.12084321892063388
selected,t1,1,1,NNE,12,0.04425258746528054,0.04849268992898872,0.04425258746528054,100.0,0.1955733227637081
selected,t1,1,2,NE,122,0.16514292201607256,0.22477343231235875,0.060326450006865026,81.14754098360656,0.42273548012616
selected,t1,1,3,ENE,655,0.19735011982944597,0.26001486529872075,0.05091871946405178,69.61832061068702,0.4921900134702664
selected,t1,1,4,E,87,0.13174974364591768,0.19173764036139013,-0.07156786345512463,83.9080459770115,0.32537088254677754
selected,t1,1,5,ESE,11,0.09351542881553279,0.12054431980391807,-0.022700631746889955,81.81818181818183,0.23032987949514352
selected,t1,1,6,SE,8,0.1712047657256656,0.2938965008188369,-0.1562337419573495,75.0,0.2577749493395577
selected,t1,1,7,SSE,6,0.16802306368543826,0.25752043847710787,-0.12450717908888381,66.66666666666666,0.3612707269764844
selected,t1,1,8,S,7,0.20659115515480092,0.2535507856901841,-0.203027593643941,28.57142857142857,0.30329576037326583
