turbine,lead_day,flow,season_year,season,speed_bin,n,median_ratio,mean_power
t1,1,ENE/E,2024,autumn,2–4,159,1.5294384057971013,0.17479035639413
t1,1,ENE/E,2024,autumn,4–6,244,1.337923482613748,0.4026133879781421
t1,1,ENE/E,2024,autumn,6–8,292,1.3333403143188738,0.6644748858447489
t1,1,ENE/E,2024,autumn,8–10,154,1.2669713562365688,0.8428138528138528
t1,1,ENE/E,2024,autumn,10–12,13,1.3220563847429518,0.9761538461538461
t1,1,ENE/E,2024,spring,2–4,146,1.248268106162843,0.17272374429223744
t1,1,ENE/E,2024,spring,4–6,170,1.3671765820080157,0.38350980392156864
t1,1,ENE/E,2024,spring,6–8,178,1.3961295155543016,0.6479962546816479
t1,1,ENE/E,2024,spring,8–10,71,1.216206652512385,0.7706103286384977
t1,1,ENE/E,2024,spring,10–12,27,1.234001910219675,0.9349999999999999
t1,1,ENE/E,2024,spring,12+,8,0.9568079235484059,0.9879166666666667
t1,1,ENE/E,2024,summer,2–4,70,1.2471239734440696,0.16707142857142857
t1,1,ENE/E,2024,summer,4–6,101,1.130314232902033,0.2982178217821782
t1,1,ENE/E,2024,summer,6–8,74,0.9518180396959295,0.4038063063063063
t1,1,ENE/E,2024,summer,8–10,11,1.3389339513325607,0.8725757575757576
t1,1,ENE/E,2024,winter,2–4,25,1.5970695970695967,0.2518666666666666
t1,1,ENE/E,2024,winter,4–6,42,1.6134338689179377,0.47246031746031747
t1,1,ENE/E,2024,winter,6–8,45,1.507936507936508,0.7863333333333333
t1,1,ENE/E,2024,winter,8–10,11,1.2531939605110336,0.8854545454545455
t1,1,ENE/E,2025,autumn,2–4,185,1.2792642140468227,0.14534234234234233
t1,1,ENE/E,2025,autumn,4–6,284,1.1043592650735508,0.27463849765258214
t1,1,ENE/E,2025,autumn,6–8,145,1.1457703927492446,0.5225977011494253
t1,1,ENE/E,2025,autumn,8–10,98,1.2028101678090772,0.7061904761904761
t1,1,ENE/E,2025,autumn,10–12,25,1.09278059785674,0.9374666666666667
t1,1,ENE/E,2025,autumn,12+,34,0.9390092466016646,0.9456862745098038
t1,1,ENE/E,2025,spring,2–4,98,1.4898117048346058,0.18726190476190477
t1,1,ENE/E,2025,spring,4–6,186,1.3637666383460776,0.4246594982078853
t1,1,ENE/E,2025,spring,6–8,214,1.428712835919669,0.6860241433021806
t1,1,ENE/E,2025,spring,8–10,119,1.359375,0.8913025210084033
t1,1,ENE/E,2025,spring,10–12,39,1.2244897959183674,0.9707692307692307
t1,1,ENE/E,2025,spring,12+,7,0.9477911646586346,0.838095238095238
t1,1,ENE/E,2025,summer,2–4,99,1.3405535499398316,0.18314814814814817
t1,1,ENE/E,2025,summer,4–6,113,1.1459810874704492,0.30606194690265487
t1,1,ENE/E,2025,summer,6–8,120,0.8781624425717779,0.3546166666666667
t1,1,ENE/E,2025,summer,8–10,71,0.9182272159800249,0.5188967136150235
t1,1,ENE/E,2025,summer,10–12,17,0.9850530376084861,0.8170588235294118
t1,1,ENE/E,2025,winter,2–4,262,1.2861170479752593,0.11960559796437659
t1,1,ENE/E,2025,winter,4–6,380,1.174042110934888,0.27780263157894736
t1,1,ENE/E,2025,winter,6–8,347,1.3374724061810155,0.6554418828049952
t1,1,ENE/E,2025,winter,8–10,184,1.2612682560952873,0.8540579710144927
t1,1,ENE/E,2025,winter,10–12,85,1.1686672822406894,0.966470588235294
t1,1,ENE/E,2026,winter,2–4,89,1.5121124031007753,0.20737827715355805
t1,1,ENE/E,2026,winter,4–6,237,1.2254901960784312,0.3225597749648383
t1,1,ENE/E,2026,winter,6–8,203,1.1079965232507605,0.5356568144499179
t1,1,ENE/E,2026,winter,8–10,135,1.229612034837688,0.7689753086419753
t1,1,ENE/E,2026,winter,10–12,39,1.2484877427570837,0.9867094017094016
t1,1,ENE/E,2026,winter,12+,8,1.294627746568208,0.9854166666666666
t1,1,WSW/W,2024,autumn,2–4,132,1.1511504330729583,0.11715909090909091
t1,1,WSW/W,2024,autumn,4–6,140,1.1136812127510356,0.20729761904761906
t1,1,WSW/W,2024,autumn,6–8,142,0.9772122224190498,0.3720539906103286
t1,1,WSW/W,2024,autumn,8–10,122,0.9333214201038975,0.5790710382513661
t1,1,WSW/W,2024,autumn,10–12,100,0.9560621084327597,0.78495
t1,1,WSW/W,2024,autumn,12+,120,0.8529863567437725,0.904611111111111
t1,1,WSW/W,2024,spring,2–4,103,1.0120967741935485,0.06760517799352751
t1,1,WSW/W,2024,spring,4–6,163,1.0985360360360361,0.22375869120654399
t1,1,WSW/W,2024,spring,6–8,184,1.0250599226756312,0.41027173913043474
t1,1,WSW/W,2024,spring,8–10,155,0.9934959349593496,0.6306236559139785
t1,1,WSW/W,2024,spring,10–12,109,0.9243772241992882,0.7173241590214067
t1,1,WSW/W,2024,spring,12+,167,0.8787764350453172,0.9259281437125748
t1,1,WSW/W,2024,summer,2–4,63,0.9099999999999999,0.09714285714285714
t1,1,WSW/W,2024,summer,4–6,93,0.7268074216250799,0.12340501792114696
