turbine,lead_day,sector_i,sector,season_year,season,n,median_ratio,q25,q75,mean_power,mean_forecast_wind,mean_measured_wind
t1,1,0,N,2024,autumn,2,0.8144465488215489,0.7729640151515151,0.8559290824915825,0.07583333333333334,3.72,3.1591666666666667
t1,1,0,N,2024,spring,1,0.6749999999999999,0.6749999999999999,0.6749999999999999,0.01,2.0,1.3499999999999999
t1,1,0,N,2024,summer,8,1.4671474358974361,0.7978766025641025,2.852566232500443,0.23020833333333332,2.50125,4.774375
t1,1,0,N,2025,autumn,3,0.9710743801652894,0.897086897684984,1.660120523415978,0.04611111111111111,2.233333333333333,2.975
t1,1,0,N,2025,spring,4,1.2890033446369675,1.0661707862351393,1.4369606256742178,0.02625,2.255,2.7454166666666664
t1,1,0,N,2025,summer,10,1.4480390137569408,1.0528933906024984,2.166839778592595,0.25316666666666665,3.786,5.308333333333333
t1,1,1,NNE,2024,autumn,7,1.044392523364486,0.6618156409639199,1.6475754716600743,0.1652380952380952,2.8414285714285716,3.7104761904761903
t1,1,1,NNE,2024,spring,7,0.7413127413127413,0.6586909714914766,1.077929290185497,0.021190476190476194,2.501428571428572,2.1964285714285716
t1,1,1,NNE,2024,summer,8,2.1291271794334783,1.8664068393261253,2.4144628050538754,0.21708333333333332,2.60625,5.187708333333333
t1,1,1,NNE,2024,winter,2,1.537583148558758,1.1366777531411676,1.9384885439763484,0.0475,2.33,3.478333333333333
t1,1,1,NNE,2025,autumn,6,1.2648319686819398,0.971990937411498,1.9005554596921965,0.11499999999999999,2.5866666666666664,3.788611111111111
t1,1,1,NNE,2025,spring,7,1.251937984496124,1.0339976170200051,1.334736330444485,0.05904761904761906,2.457142857142857,3.220952380952381
t1,1,1,NNE,2025,summer,12,1.4668023751296873,0.7572905251490538,2.0648375010524544,0.26819444444444446,3.9741666666666666,5.548750000000001
t1,1,1,NNE,2026,winter,2,0.9626483572152265,0.9099589303806629,1.0153377840497901,0.020833333333333336,3.105,2.92
t1,1,2,NE,2024,autumn,59,1.1326326326326326,0.7493833118833119,2.1197180829353175,0.19531073446327685,3.516101694915254,4.659788135593221
t1,1,2,NE,2024,spring,29,0.8733087330873309,0.5239197530864197,1.6272163120567376,0.12862068965517243,2.9093103448275865,3.322988505747126
t1,1,2,NE,2024,summer,34,1.2552812071330588,0.6382328551736022,1.9214460951342511,0.19617647058823529,3.646470588235294,4.714117647058823
t1,1,2,NE,2024,winter,6,1.3349113705144835,1.1216353677621285,1.6575141647894054,0.1758333333333333,2.7216666666666662,4.802777777777778
